camera,cv_pct,exercise,fps,frame_conformity_pct,latency_ms,n_frames,n_tracked,peak_hip_flexion_deg,rmssd_deg,session_conformant,sigma_deg,subject
cam2.mp4,22.44,03,32.8,18.1,30.45,794,794,92.3,3.25,False,30.93,0
cam2.mp4,4.96,07,32.1,48.0,31.17,736,736,35.8,2.76,False,7.9,0
cam2.mp4,5.71,03,31.4,28.6,31.84,844,844,34.0,2.0,False,9.57,1
cam2.mp4,5.63,07,31.3,29.7,31.97,708,708,38.0,1.87,False,9.34,1
cam2.mp4,11.3,03,29.4,36.5,33.98,882,882,55.8,1.78,False,18.16,2
cam2.mp4,6.05,07,28.7,41.2,34.87,896,896,40.8,2.52,False,9.72,2
cam2.mp4,9.36,03,28.9,47.4,34.61,1288,1288,48.5,2.61,False,15.09,3
cam2.mp4,6.12,07,28.4,48.7,35.22,1593,1593,37.0,1.56,False,9.84,3
cam2.mp4,6.93,03,28.2,37.3,35.42,984,984,41.8,2.37,False,11.31,4
cam2.mp4,8.86,07,26.6,31.7,37.62,872,872,57.3,2.99,False,14.62,4
cam2.mp4,7.15,03,25.9,36.0,38.6,1201,1201,43.9,3.04,False,11.57,5
cam2.mp4,8.36,07,27.3,27.1,36.65,1196,1196,47.8,2.42,False,13.93,5
cam2.mp4,7.14,03,25.2,32.0,39.69,793,793,36.3,2.02,False,11.85,6
cam2.mp4,6.01,07,26.8,36.7,37.36,788,788,35.9,2.3,False,9.73,6
cam2.mp4,11.16,03,26.9,37.8,37.2,468,468,59.7,5.33,False,17.85,7
cam2.mp4,7.35,07,26.9,26.1,37.16,487,487,44.4,4.13,False,12.25,7
cam2.mp4,5.08,03,26.8,19.9,37.32,1012,1012,35.8,2.51,False,8.62,8
cam2.mp4,4.34,07,26.6,14.3,37.6,987,987,25.4,2.6,False,7.48,8
cam2.mp4,3.08,03,26.6,2.8,37.66,825,825,23.5,1.82,False,5.32,9
cam2.mp4,1.74,07,26.7,0.0,37.49,1073,1073,14.2,1.47,False,3.06,9
cam2.mp4,14.05,03,26.7,38.2,37.46,584,584,60.5,2.75,False,22.53,10
cam2.mp4,6.12,07,26.5,24.2,37.76,570,570,34.0,2.31,False,10.29,10
cam2.mp4,4.96,03,26.2,18.8,38.16,600,600,26.4,2.27,False,8.42,11
cam2.mp4,4.82,07,26.7,22.2,37.44,537,537,25.3,2.4,False,8.19,11
cam2.mp4,11.06,03,26.3,44.8,38.03,803,803,49.8,2.81,False,17.62,12
cam2.mp4,11.04,07,26.0,40.6,38.41,704,704,56.6,2.43,False,17.61,12
cam2.mp4,8.0,03,26.3,42.8,38.02,491,491,45.0,4.39,False,13.0,13
cam2.mp4,7.84,07,26.3,36.9,38.08,517,517,39.3,5.5,False,13.15,13
cam2.mp4,7.83,03,26.7,50.5,37.52,967,967,46.7,2.81,False,12.83,14
cam2.mp4,7.25,07,27.1,42.2,36.88,785,785,39.1,2.34,False,11.81,14
cam2.mp4,15.18,03,26.4,29.6,37.93,662,662,71.3,2.71,False,23.74,15
cam2.mp4,7.72,07,25.4,26.1,39.33,700,700,43.0,1.72,False,12.76,15
cam2.mp4,9.04,03,26.5,39.3,37.7,534,534,45.8,2.07,False,14.49,16
cam2.mp4,3.18,07,25.8,1.6,38.81,550,550,25.4,2.42,False,5.44,16
cam2.mp4,12.77,03,26.1,40.5,38.27,814,814,65.7,3.21,False,20.01,17
cam2.mp4,8.97,07,26.6,31.2,37.53,928,928,48.7,2.41,False,14.73,17
cam2.mp4,4.36,03,26.3,11.9,37.99,496,496,30.9,3.29,False,7.39,18
cam2.mp4,8.87,07,26.5,34.3,37.71,484,484,48.6,3.18,False,14.41,18
cam2.mp4,3.15,03,26.5,5.1,37.67,666,666,29.0,2.42,False,5.45,19
cam2.mp4,5.97,07,25.8,21.4,38.83,621,621,31.6,1.95,False,10.2,19
cam2.mp4,2.62,03,26.5,0.8,37.72,723,723,22.0,1.36,False,4.61,20
cam2.mp4,1.43,07,26.1,0.0,38.33,878,878,8.8,1.62,False,2.5,20
cam2.mp4,7.68,03,26.4,35.6,37.88,825,825,41.8,2.61,False,12.5,21
cam2.mp4,8.82,07,26.0,46.8,38.42,825,825,38.1,1.41,False,14.28,21
cam2.mp4,7.45,03,26.6,47.9,37.63,612,612,38.4,2.35,False,12.09,22
cam2.mp4,6.05,07,26.5,39.6,37.69,548,548,41.3,1.95,False,9.74,22
cam2.mp4,4.73,03,26.1,19.3,38.25,514,514,26.6,1.49,False,8.07,23
cam2.mp4,5.06,07,25.7,19.9,38.99,564,564,26.5,2.32,False,8.71,23
cam2.mp4,10.54,03,26.6,34.7,37.61,478,478,46.3,3.21,False,17.43,24
cam2.mp4,7.67,07,26.0,32.8,38.39,436,436,40.2,3.08,False,12.66,24
cam2.mp4,7.17,03,26.2,47.2,38.22,464,464,39.0,2.75,False,11.51,25
cam2.mp4,9.05,07,26.3,41.2,38.0,869,869,45.5,2.22,False,14.5,25
cam2.mp4,9.49,03,26.4,52.1,37.94,1076,1076,58.3,4.16,False,15.18,26
cam2.mp4,6.29,07,25.8,32.3,38.79,1178,1178,33.7,2.0,False,10.51,26
