camera,cv_pct,exercise,fps,frame_conformity_pct,latency_ms,n_frames,n_tracked,peak_hip_flexion_deg,rmssd_deg,session_conformant,sigma_deg,subject
cam2.mp4,14.26,03,55.6,48.2,17.98,794,794,66.5,4.25,False,21.69,0
cam2.mp4,2.89,07,56.0,1.5,17.86,736,736,23.9,3.37,False,5.03,0
cam2.mp4,6.69,03,55.3,24.5,18.08,844,844,44.3,3.95,False,11.16,1
cam2.mp4,7.82,07,53.6,30.9,18.65,708,708,44.3,2.8,False,12.95,1
cam2.mp4,6.45,03,56.2,36.5,17.8,882,882,44.2,3.23,False,10.61,2
cam2.mp4,6.78,07,51.9,20.0,19.26,896,896,50.1,4.3,False,11.37,2
cam2.mp4,5.22,03,53.8,26.4,18.59,1288,1288,29.3,3.69,False,8.73,3
cam2.mp4,2.85,07,54.0,2.9,18.53,1593,1593,29.5,1.84,False,4.96,3
cam2.mp4,7.89,03,53.1,45.1,18.85,984,984,50.3,5.97,False,12.84,4
cam2.mp4,10.19,07,54.2,35.9,18.43,872,872,61.4,4.08,False,16.13,4
cam2.mp4,8.68,03,52.5,27.0,19.03,1201,1201,51.7,2.0,False,14.03,5
cam2.mp4,2.53,07,52.1,0.8,19.19,1196,1196,24.0,2.47,False,4.45,5
cam2.mp4,5.08,03,54.1,12.9,18.5,793,793,34.3,2.87,False,8.57,6
cam2.mp4,2.77,07,53.0,2.8,18.87,788,788,25.3,2.83,False,4.72,6
cam2.mp4,13.04,03,52.2,36.5,19.17,468,468,59.8,8.37,False,20.44,7
cam2.mp4,5.82,07,54.0,47.8,18.52,487,487,47.1,5.47,False,9.16,7
cam2.mp4,4.64,03,54.3,20.5,18.41,1012,1012,37.8,2.59,False,7.67,8
cam2.mp4,1.77,07,52.0,0.0,19.23,987,987,16.7,2.23,False,3.09,8
cam2.mp4,2.48,03,51.1,0.4,19.56,825,825,21.7,3.77,False,4.32,9
cam2.mp4,1.21,07,53.9,0.0,18.57,1073,1073,11.0,1.34,False,2.14,9
cam2.mp4,10.65,03,51.3,34.1,19.49,584,584,56.6,4.14,False,17.15,10
cam2.mp4,6.02,07,54.0,18.1,18.53,570,570,38.1,3.72,False,10.27,10
cam2.mp4,4.86,03,54.5,65.8,18.35,600,600,40.0,4.69,False,7.74,11
cam2.mp4,2.79,07,49.7,0.4,20.14,537,537,20.2,4.27,False,4.82,11
cam2.mp4,4.05,03,50.7,11.7,19.73,803,803,33.8,2.55,False,6.78,12
cam2.mp4,4.37,07,52.0,19.6,19.24,704,704,37.1,2.64,False,7.34,12
cam2.mp4,6.65,03,52.6,19.3,19.01,491,491,35.0,3.84,False,11.34,13
cam2.mp4,3.5,07,47.0,1.0,21.26,517,517,27.3,7.25,False,6.0,13
cam2.mp4,5.89,03,52.2,23.1,19.14,967,967,38.2,4.64,False,9.87,14
cam2.mp4,3.48,07,53.9,15.4,18.56,785,785,25.8,2.61,False,5.77,14
cam2.mp4,3.72,03,54.5,10.4,18.34,662,662,28.6,3.81,False,6.31,15
cam2.mp4,10.18,07,51.5,16.0,19.4,700,700,89.2,9.36,False,16.97,15
cam2.mp4,7.27,03,49.7,24.0,20.14,534,534,42.6,5.11,False,12.14,16
cam2.mp4,4.43,07,53.9,10.0,18.54,550,550,29.1,2.86,False,7.67,16
cam2.mp4,5.84,03,51.2,15.0,19.53,814,814,45.6,5.27,False,9.83,17
cam2.mp4,3.46,07,52.0,2.2,19.22,928,928,24.7,3.13,False,6.05,17
cam2.mp4,4.59,03,52.9,29.8,18.9,496,496,32.3,5.28,False,7.53,18
cam2.mp4,2.66,07,52.8,1.2,18.94,484,484,23.7,4.38,False,4.57,18
cam2.mp4,7.15,03,54.1,69.8,18.48,666,666,42.6,5.48,False,10.96,19
cam2.mp4,4.52,07,51.4,8.7,19.47,621,621,37.5,3.96,False,7.82,19
cam2.mp4,1.56,03,51.6,0.0,19.39,723,723,11.7,2.19,False,2.76,20
cam2.mp4,2.18,07,50.3,0.2,19.88,878,878,36.1,1.85,False,3.77,20
cam2.mp4,10.16,03,48.2,44.0,20.73,825,825,55.3,5.12,False,15.82,21
cam2.mp4,5.8,07,47.7,21.8,20.98,825,825,56.3,5.92,False,9.53,21
cam2.mp4,7.65,03,52.4,32.8,19.08,612,612,40.3,2.57,False,12.69,22
cam2.mp4,2.97,07,49.4,0.7,20.26,548,548,23.1,4.36,False,5.12,22
cam2.mp4,3.68,03,50.9,16.3,19.64,514,514,27.5,3.1,False,6.12,23
cam2.mp4,2.49,07,53.3,1.8,18.74,564,564,25.9,1.84,False,4.29,23
cam2.mp4,3.03,03,52.3,0.2,19.12,478,478,20.0,4.47,False,5.18,24
cam2.mp4,2.72,07,54.3,0.0,18.43,436,436,17.6,4.07,False,4.61,24
cam2.mp4,10.5,03,53.7,40.5,18.63,464,464,49.3,5.75,False,17.0,25
cam2.mp4,9.08,07,51.4,38.7,19.47,869,869,66.2,4.33,False,14.63,25
cam2.mp4,6.71,03,53.8,30.9,18.58,1076,1076,39.6,3.8,False,11.17,26
cam2.mp4,5.43,07,52.5,10.8,19.04,1178,1178,44.4,3.48,False,9.36,26
